episode,return,length,critic_loss
464,-553.801551,529,321.3036804199219
465,-503.763264,545,447.20751953125
466,-795.676271,397,509.1939697265625
467,-1118.75445,204,873.2652587890625
468,-677.733964,473,1093.0028076171875
469,-464.929748,563,198.0845489501953
470,-933.071815,315,600.9180908203125
471,-622.870683,469,639.5682373046875
472,-987.006227,281,763.3383178710938
473,-605.843999,481,1057.286865234375
474,1859.570991,1000,538.6853637695312
475,883.010511,1000,1137.5018310546875
476,-452.59886,588,1578.3370361328125
477,-427.782767,567,577.633056640625
478,19.789697,851,530.0955810546875
479,-922.922651,317,376.90692138671875
480,-473.455035,579,397.39251708984375
481,890.285307,1000,345.740234375
482,-979.980094,275,402.9258728027344
483,39.011977,873,526.6436767578125
484,37.684867,818,349.18701171875
485,-1129.478471,205,297.2638244628906
486,-52.845926,813,340.7401428222656
487,-609.259208,478,1370.2657470703125
488,-1015.982092,275,551.5354614257812
489,28.468662,854,504.6828918457031
490,-801.765818,402,870.4129028320312
491,-210.700549,701,1840.901611328125
492,-1175.410198,184,422.21868896484375
493,1310.280458,1000,307.9043884277344
494,-785.947057,390,1287.94482421875
495,-854.6036,363,1413.6448974609375
496,-621.174256,477,914.279052734375
497,-686.950366,445,599.3701171875
498,-636.784981,466,1001.6499633789062
499,-342.034799,652,1299.416259765625
500,-923.834073,322,337.6524658203125
501,31.90466,830,901.9482421875
502,855.169102,1000,393.74139404296875
503,-382.533537,591,287.9130554199219
504,236.978731,948,1113.1502685546875
505,-423.835577,591,409.18365478515625
506,-203.936969,727,241.7082061767578
507,-697.167147,460,280.8246154785156
508,-137.081305,751,1010.9147338867188
509,-849.395452,363,654.629150390625
510,-313.643494,646,454.76654052734375
511,-1120.499859,209,1463.413330078125
512,296.30963,972,516.951904296875
513,883.666527,1000,1164.993896484375
514,-977.118008,298,421.5489501953125
515,-824.314625,359,536.5556640625
516,-1144.755493,198,1449.5982666015625
517,-482.524816,536,338.5536193847656
518,-633.698943,469,839.4576416015625
519,4.89311,848,964.8416137695312
520,-970.314909,294,477.6659240722656
521,-963.020427,299,846.5277709960938
522,-2.826473,821,502.7802429199219
523,196.352445,925,2054.175537109375
524,879.357008,1000,1012.2054443359375
525,-724.138829,419,911.8102416992188
526,-268.390242,686,672.9581298828125
527,-961.033554,303,411.6207275390625
528,-1162.938384,198,369.1300048828125
529,-953.420546,297,664.6823120117188
530,1381.239392,1000,284.55322265625
531,-612.667399,495,898.1434326171875
532,-97.930538,748,786.49755859375
533,-1103.591451,223,1403.3782958984375
534,68.989534,881,826.9173583984375
535,882.190515,1000,1071.793701171875
536,-627.139918,473,416.1725158691406
537,-465.235479,558,701.3790283203125
538,322.318629,981,1036.05224609375
539,-250.62576,674,664.556640625
540,-466.060425,588,663.7626953125
541,897.416427,1000,658.31787109375
542,-485.710333,554,419.41552734375
543,287.648278,979,533.9260864257812
544,-768.298122,403,513.8126831054688
545,-425.94097,582,1137.942626953125
546,-407.026761,622,1032.403076171875
547,-645.133912,493,761.142822265625
548,-637.203893,480,875.7364501953125
549,-81.375302,763,1117.54345703125
550,-109.342985,778,1174.201416015625
551,-982.536507,282,2105.998779296875
552,108.148222,896,196.89544677734375
553,-1174.419379,184,617.5099487304688
554,-454.002879,577,323.7330322265625
555,-582.22382,495,296.9673767089844
556,-433.815783,579,1033.1883544921875
557,-377.848906,614,323.56475830078125
558,-936.284789,321,331.91595458984375
559,-390.966634,602,682.9632568359375
560,-930.162531,314,1733.9400634765625
561,843.957452,1000,750.8012084960938
